title,author,release_date,page_count,language,publisher,genre,format,reviews,ratings,description,avg_score,ibsn,link
Psi rok : dwanaście miesięcy - cztery psy - i ja,Jon Katz,2008-01-01,186,polski,Galaktyka,"biografia, autobiografia, pamiętnik",papier,118,14,"""Psi rok"" to piękna, zapadająca głęboko w serce opowieść, która bawi i wzrusza, a jednocześnie uczy, jak mądrze kochać. To jedna z tych książek, które uświadamiają nam, jak ważne w naszym życiu są zwierzęta.Juliusz i Stanley - pogodne, słodkie labradory, oraz dwa border collie: Homer i Orson - bohater książki ""Dobry pies"" - to ukochane psy, które towarzyszą Jonowi każdego dnia. Razem z nimi i wszystkimi radościami, szaleństwami, ale także smutkami ich codziennego życia spędzamy rok na farmie Jona.To opowieść o zaufaniu i zrozumieniu, o życiu i śmierci, o kontynuacji i zmianie. Historia czasami refleksyjna, czasami zabawna, ale zawsze do głębi wzruszająca.[Galaktyka, 2008]","7,3",978-83-7579-011-5,https://lubimyczytac.pl/ksiazka/75105/psi-rok-dwanascie-miesiecy---cztery-psy---i-ja
Rok nie wyrok,Piotr Milewski,2008-01-01,400,polski,Niebieska Studnia,"biografia, autobiografia, pamiętnik",papier,124,9,"Podczas ulicznej obławy na handlarzy narkotyków, tajniacy zatrzymują korespondenta Radia Zet w Nowym Jorku, Piotra Milewskiego.Policjantka zakuwa dziennikarza w kajdanki i wkłada mu do kieszeni podniesioną z chodnika torebkę cracku – taniej kokainy. Kołowrót absurdalnych zdarzeń sprawia, że Milewski zostaje skazany za handel najgroźniejszą z ""substancji kontrolowanych"", na rok przymusowego odwyku w towarzystwie zawodowych kryminalistów: głównie Murzynów i Latynosów. Podczas terapii, opisuje zderzenie dwóch kultur, języków oraz sposobów myślenia, prowadzące do dalszych nieporozumień i niedorzeczności, czasem zabawnych, czasem groźnych.""Rok nie wyrok"" to książka, której nie odważyłby się napisać żaden biały dziennikarz amerykański: bardzo niepoprawna politycznie, ale prawdziwa: seks, dragi i hiphop nieubarwione stylizacją MTV, filozofia gangsta, język czarnego getta.","6,8",9788360979044,https://lubimyczytac.pl/ksiazka/86386/rok-nie-wyrok
Wojaczek wielokrotny,Katarzyna Batorowicz-Wołowiec,2008-01-01,623,polski,Biuro Literackie,"biografia, autobiografia, pamiętnik",papier,79,10,"""Wojaczek wielokrotny"" to największy zbiór wspomnień o poecie. Zawiera 85 relacji i świadectw na temat wszystkich etapów jego życia. Oprócz ponad sześciuset stron wspomnień, znajdujemy tu także płytę DVD z nagraniami 47 osób (ponad 11 godzin),co sprawia, że spełnia też rolę e-booka. Książka ma układ chronologiczny, płyta DVD - tematyczny (30 haseł, takich jak np. Alkohol, Autoagresja, Choroba, Incydenty, Śmierć, Uczucia, czy Więzienie). Pozwala to traktować książkę jak videoleksykon, którego czytelnik (a zarazem widz),może zapoznać się w dowolnej kolejności z tymi wątkami i problemami, które go intrygują lub są mu bliskie.","8,0",978-83-60602-38-6,https://lubimyczytac.pl/ksiazka/58640/wojaczek-wielokrotny
Życie z Merlem,Ted Kerasote,2008-01-01,424,polski,Galaktyka,"biografia, autobiografia, pamiętnik",papier,96,21,"Merle i Ted odnaleźli się na pustyni w stanie Utah. Merle był psem w wieku około dziesięciu miesięcy, zmuszonym samemu walczyć o swój byt i szukającym kogoś, komu mógłby oddać swoje serce. Ted miał lat czterdzieści jeden, lubił pisać o zwierzętach i właśnie rozglądał się za szczeniakiem, którego mógłby wychować na prawdziwego druha. Zabawna, fascynująca i czuła książka Życie z Merlem jest wzruszającą historią miłosną, która przekonuje, że partnerstwo pomiędzy psem i człowiekiem może przeistoczyć się w związek silniejszy niż można to sobie wyobrazić.","7,5",978-83-7579-032-0,https://lubimyczytac.pl/ksiazka/48389/zycie-z-merlem
Uratować Sprite'a,Mark.R. Levin,2008-01-01,201,polski,Esprit,"biografia, autobiografia, pamiętnik",papier,91,24,"Jedna z najpiękniejszych książek o naszych czworonożnych przyjaciołach, jakie kiedykolwiek napisano. Mark Levin jest słynnym amerykańskim dziennikarzem radiowym, autorem bestsellerowych książek o amerykańskiej polityce. Było więc wielkim zaskoczeniem, że wydał książkę na temat tak odległy o swych zwykłych zainteresowań, i jeszcze większą niespodzianką, gdy książka zawędrowała na pierwsze miejsca amerykańskich list bestsellerów. Książka jest niezwykłą opowieścią o należących do autora psach, o zabawnych wydarzeniach z nimi związanych, a wreszcie - w poruszający sposób opisanej walce jednego z nich ze śmiertelną chorobą. Opowieść Marka Levina jest jednym z najwspanialszych hołdów, jakie ludzkość oddała swoim największym przyjaciołom, towarzyszącym nam z niezachwianą wiernością od zarania dziejów. Lektura obowiązkowa dla każdego, kto kocha psy. Książka Na ratunek Sprite'owi weszła do pierwszej dziesiątki najlepiej sprzedających się książek według dziennika New York Times . W największej na świecie księgarni internetowej amazon.com przez kilka tygodni była najlepiej sprzedającą się książką, i przez kilka miesięcy pozostawała w pierwszej dziesiątce, zaliczając się do największych bestsellerów roku 2007 w Stanach Zjednoczonych. Tłumaczona jest obecnie na kilkanaście języków, w tym na język polski.","6,8",978-83-60040-63-8,https://lubimyczytac.pl/ksiazka/73929/uratowac-sprite-a
Ryzykowna kochanka,Rexanne Becnel,2008-01-01,304,polski,Amber,"biografia, autobiografia, pamiętnik",papier,97,10,"Lucy Drysdale marzy o wyjeździe do Londynu, gdzie znany naukowiec rozpoczyna właśnie cykl fascynujących wykładów. Niestety, jej brat, a zarazem opiekun, nawet nie chce o tym słyszeć. Jakaż jest więc jej radość, gdy hrabina z sąsiedztwa proponuje jej posadę w Londynie ? przyzwoitki młodej...Powieść ukazała się w Polsce w 1998 r w wydawnictwie Da Capo pod tytułem Sawantka","6,7",978-83-241-3245-4,https://lubimyczytac.pl/ksiazka/74541/ryzykowna-kochanka
Ss-mann: życie i śmierć mordercy,Helgard Heindrichs,2008-01-01,246,polski,Sprzedaż Dobrej Książki,"biografia, autobiografia, pamiętnik",papier,64,9,"Książka podejmuje próbę odpowiedzi na pytanie: jak w duszy zwykłego człowieka rodzi się zbrodnia i kiedy opętańcza ideologia zabija wszelkie ludzkie odruchy, zamieniając człowieka w bestię.","7,0",9788392821502,https://lubimyczytac.pl/ksiazka/63078/ss-mann-zycie-i-smierc-mordercy
Solista,Steve Lopez,2008-01-01,348,polski,Twój Styl,"biografia, autobiografia, pamiętnik",papier,81,12,"Steve Lopez opisuje niezwykłe dzieje Nathaniela Anthony'ego Ayersa, bezdomnego mężczyzny, którego przypadkowo spotkał w biednej dzielnicy Los Angeles Skid Row (zamieszkałej głownie przez alkoholików, narkomanów i wszelkiego rodzaju ""element""),gdy ten na rogu ulicy grał na wiolonczeli. Ze swojej dwustrunowej wiolonczeli wydobywał tak piękne dźwięki, że zwrócił tym uwagę Stevena. Okazało się, że Nathaniel był kiedyś uczniem elitarnej szkoły muzycznej Juilliard, ale był chory psychicznie. To przypadkowe spotkanie sprawiło, że Nathaniel i Steve polubili się i zaczęli spędzać ze sobą coraz więcej czasu. W końcu Steve postanowił pomóc Nathanielowi wyrwać się z bezdomności. Książka SOLISTA opisuje problem choroby psychicznej i schizofrenii w porównaniu z większym problemem bezdomności i braku akceptacji ze strony społeczeństwa.","6,7",9788371635502,https://lubimyczytac.pl/ksiazka/62176/solista
Tom Cruise. Nieautoryzowana Biografia,Andrew Morton,2008-01-01,432,polski,Philip Wilson,"biografia, autobiografia, pamiętnik",papier,98,11,"Tom Cruise, według „Forbesa” najpotężniejszy gwiazdor na świecie, od dawna budzi ogromne zainteresowanie i emocje. Charyzmatyczny aktor, który swą grą zaskakuje swoich kolegów po fachu i fascynuje widzów. Nic dziwnego, jest przecież najpotężniejszym człowiekiem w Hollywood.Na czym polega fenomen Toma Cruise’a?Genialny aktor, bezwzględny biznesmen czy fanatyczny scjentolog?Na czym polega jego wyjątkowa osobowość? Co się kryje za jego zniewalającym uśmiechem? Jaka jest prawda o jego małżeństwach? Dlaczego wciąż prześladują go plotki o jego życiu seksualnym? [opis wydawcy]","5,7",978-83-7236-238-4,https://lubimyczytac.pl/ksiazka/52901/tom-cruise-nieautoryzowana-biografia
"Czas ciekawy, czas niespokojny. Z Leszkiem Kołakowskim rozmawia Zbigniew Mentzel. Część II",Leszek Kołakowski,2008-01-01,192,polski,Znak,"biografia, autobiografia, pamiętnik",papier,76,7,"Drugi tom pasjonujących rozmów Leszka Kołakowskiego ze Zbigniewem Mentzlem obejmuje okres od 1968 roku do czasów dzisiejszych. W tym czasie Leszek Kołakowski zyskał i ugruntował pozycję filozofa światowej klasy. Profesor opowiada o swym wyjeździe do Kanady przez Paryż, następnie o pobycie w Berkeley i ostatecznym osiedleniu się w Oksfordzie.Z książki dowiemy się m.in., w jakich rytuałach uczestniczy profesor oksfordzkiego uniwersytetu, dlaczego wybitny filozof kocha sztukę hiszpańską i czy jego zdaniem cierpienie może być źródłem twórczości. Mentzel pyta także Kołakowskiego o jego poglądy polityczne, o stosunek do religii i o ocenę Polski widzianej z perspektywy emigracji. Profesor odpowiada z właściwym sobie humorem i przenikliwością. Wspomina swoją znajomość z Miłoszem, Giedroyciem, Tarskim, Eliadem i innymi wybitnymi intelektualistami.Lektura tej książki daje możliwość obcowania z jednym z nielicznych już dziś prawdziwych autorytetów, a zarazem poznania go bliżej jako człowieka.","7,2",978-83-240-1027-1,https://lubimyczytac.pl/ksiazka/57691/czas-ciekawy-czas-niespokojny-z-leszkiem-kolakowskim-rozmawia-zbigniew-mentzel-czesc-ii
"Ja minę, ty miniesz... : wspomnienia o Halinie Poświatowskiej",Mariola Pryzwan,2008-01-01,225,polski,Państwowy Instytut Wydawniczy,"biografia, autobiografia, pamiętnik",papier,68,6,"Halina Poświatowska (1935-1967) poetka, autorka czterech tomików wierszy: ""Humn Bałwochwalczy"", ""Dzień dzisiejszy"", ""Oda do rąk"", ""Jeszcze jedno wspomnienie"" (wydane pośmiertnie) oraz autobiograficznej prozy ""Opowieśc dla przyjaciela"". Jedno z najciekawszych zjawisk polskiej poezji powojennej. Ideał kobiecej subtelności i literackiej wrażliwości. Jej twórczość to przede wszystkim wiersze o miłości - zmysłowe, odważne, pełne liryzmu. Jej życie - naznaczone nieuleczalną chorobą serca, która w znacznym stopniu wpłynęła na twórczość - wciąż fascynuje wiele osób, budzi zainteresowanie i emocje.Halinę Poświatowską - poetkę - legendę, zdolnego filozofa, fascynującą dziewczynę - wspominają najbliżsi: matka, brat, cioteczne i stryjeczne rodzeństwo, a także przyjaciele i znajomi, wśród nich Joanna Rawik, Ludmiła Waluszewska, prof. Julian Aleksandrowicz, Jan Adamski, Stanisław Grochowiak, Tadeusz Nowak ks. prof. Józef Tischner.","7,5",978-83-06-03187-4,https://lubimyczytac.pl/ksiazka/99029/ja-mine-ty-miniesz-wspomnienia-o-halinie-poswiatowskiej
Spotkania z wybitnymi ludźmi,Georgij Iwanowicz Gurdżijew,2008-01-01,388,polski,Trzy,"biografia, autobiografia, pamiętnik",papier,36,4,"Dziesięć lat po.śmierci Gurdżijewa jego uczniowie postanowili opublikować całość jego idei, do których dotychczas tylko oni mieli dostęp.Drugi tom, stanowiący to, co Gurdżijew nazwał drugim cyklem swoich pism, został opublikowany we Francji w 1960 roku, a następnie w Anglii w 1963 pod tytułem Spotkania z wybitnymi ludźmi. Niniejsze drugie wydanie w języku polskim zostało przygotowane na podstawie pierwszego tłumaczenia, które ukazało się w 1994. Jak powiedział sam Gurdżijew, jego zadaniem w tym cyklu było dostarczenie „materiału potrzebnego do stworzenia odczucia nowego świata"" - odczucia rzucającego inne światło na życie człowieka. Jednocześnie jest to książka autobiograficzna, która zawiera jedyne dostępne informacje na temat wczesnych etapów jego życia oraz źródeł posiadanego przez niego poznania.Autor zaczyna od opisu zdarzeń ze swego dzieciństwa, szczególnie zaś wpływu ojca, jednego z ostatnich ludzi, którzy przechowali ślady pradawnej kultury, przekazywanej drogą tradycji ustnej. Gurdżijew dostawszy się w młodości pod kuratelę dziekana Katedry w Karsie, otrzymał od tego człowieka - który wiedział, jak pielęgnować zamiłowanie do ważkich wartości - zarówno przeszkolenie religijne, jak i nowoczesne wychowanie naukowe.W miarę jak Gurdżijew dorastał, jego pragnienie zrozumienia sensu ludzkiego życia stało się tak silne, że zaczął przyciągać do siebie grupę „wybitnych ludzi"" - wśród nich inżynierów, lekarzy, archeologów itd. Wyruszył z nimi do wielu krajów Bliskiego Wschodu i Azji Środkowej w poszukiwaniu poznania, które, jak czuli, na pewno kiedyś istniało, ale którego prawie wszystkie ślady gdzieś zaginęły.Po wielu ogromnych i nieprzewidzianych trudach Gurdżijew odnalazł, wraz ze swoimi towarzyszami, zaledwie kilka osób i odizolowanych grup - za każdym razem otrzymując od nich fragmenty owego poznania - aż do chwili, w której wrota pewnej szkoły, gdzie wreszcie pojął, jak można połączyć wszystkie zasady ezoterycznego nauczania, stanęły przed nim otworem. Gurdżijew szkołę tę nazywa po prostu Bractwem Światowym i nic poza tym o niej nie mówi.Od tego momentu, aż do samej śmierci, Gurdżijew zaczyna „żyć"" tymi zasadami, wystawiając je na próbę najsurowszych dyscyplin wewnętrznych.Trzeci cykl pism Gurdżijewa ukazał się pod tytułem Życie jest rzeczywiste tylko wówczas, gdy „Ja jestem"". Jego celem w tym cyklu było „asystowanie przy powstawaniu w myśli i czuciu człowieka prawdziwego obrazu rzeczywistego świata zamiast świata iluzorycznego, który człowiek postrzega obecnie"".","7,2",978-83-926782-0-5,https://lubimyczytac.pl/ksiazka/59799/spotkania-z-wybitnymi-ludzmi
Cioran: Portret radykalnego sceptyka,Berndt Mattheus,2008-01-01,288,polski,Wydawnictwo KR,"biografia, autobiografia, pamiętnik",papier,41,6,"Gdy człowiek ma szczęście, odkrywa Ciorana w latach młodości - taj jak odkrywa wówczas Rimbaud, Artaud, Bataille`a - słysząc w jego głosie bunt i zapał, czując, że zwraca się on do nas osobiście lektura staje się wówczas przeżyciem, z którym związane jest przeczucie, iż nie tak łatwo będzie je powtórzyć.","7,4",978-89-89158-65-3,https://lubimyczytac.pl/ksiazka/67571/cioran-portret-radykalnego-sceptyka
Dwa życia - Gertruda i Alicja,Janet Malcolm,2008-01-01,200,polski,Magnum,"biografia, autobiografia, pamiętnik",papier,52,4,"Znakomita biografia literacka znanej amerykańskiej pisarki Gertrudy Stein i jej towarzyszki życia Alicji B. Toklas. Janet Malcolm, autorka głośnych biografii, kreśli obraz życia obu kobiet, analizuje ich wzajemne skomplikowane relacje. Poświęca też wiele miejsca twórczości Gertrudy Stein, szukając w niej klucza do zrozumienia niezwykłego życia pisarki. Książka znalazła się na liście 100 Notable Books of 2007 dziennika New York Times.","8,4",9788389656414,https://lubimyczytac.pl/ksiazka/101297/dwa-zycia---gertruda-i-alicja
Podróże do Włoch,Jarosław Iwaszkiewicz,2008-01-01,263,polski,Państwowy Instytut Wydawniczy,"biografia, autobiografia, pamiętnik",papier,57,7,"Iwaszkiewicz zadedykował tę książkę Pawłowi Hertzowi, inicjatorowi tomu, w dedykacji zaś pisał tak: ""starałem się uniknąć nudnej chronologii, choć jest to opis podróży przedsiębranych na przestrzeni przeszło pół wieku. Uważam, że bardziej zainteresuje czytelnika pewna nierozkawałkowana całość (...) ujrzy on wtedy pewną jedność moich podróży, tak jak one spajają się i przeplatają w moim wspomnieniu (...). Ten obraz całej masy skomplikowanych a różnorodnych wspomnień, tak jak one istnieją we mnie, starałem się odtworzyć w tej książce. (...) Piszę tutaj tak samo o muzyce, malarstwie i architekturze, jak o poezji i prozie literackiej. Podróże te bowiem były rozwinięciem i odbiciem całej mojej indywidualności. (...) Nie ulega wątpliwości, że to, co tu napisałem, w pewnym stopniu pokazuje moją drogę, nauki i przypadki doświadczenia, które nadają znaczenie spowiedzi czy intymnego dziennika temu, co miało być obiektywnym opisem...","6,7",978-83-06-03112-6,https://lubimyczytac.pl/ksiazka/66938/podroze-do-wloch
"Dzienniki piratów. Dzieje kapitana Morgana i bukanierów, ręką naocznego świadka spisane",Alexander Exquemelin,2008-01-01,192,polski,G+J,"biografia, autobiografia, pamiętnik",papier,23,7,"Żadna fikcja o piratach nie może się równać z prawdziwym opisem czynów Henry'ego Morgana i zgrai dowodzonych przez niego piratów, którzy walcząc z hiszpańską potęgą w latach 1666-1672 terroryzowali karaibskie osady, największą sławę zdobywając po splądrowaniu i spaleniu stolicy Panamy. Obszerna relacja spisana ręką jednego z ludzi Morgana dostarcza szczegółowej wiedzy o przerażających czynach najsławniejszych piratów- Wielkiego Piotra, Bartłomieja Portugalczyka, Roche'a Baziliano, Lewisa Scotta, Francois L'Olonnais'go oraz oczywiście samego sir Henry'ego Morgana.Oryginalny manuskrypt Alexandra Equemelina został wzbogacony o szkice, mapy oraz obrazy z epoki, a także uzupełniony obszernym komentarzem na temat kultury, środowiska i stylu walki piratów, napisanym przez jednego z największych specjalistów w tej dziedzinie.","7,7",978-83-7596-043-3,https://lubimyczytac.pl/ksiazka/58876/dzienniki-piratow-dzieje-kapitana-morgana-i-bukanierow-reka-naocznego-swiadka-spisane
"Femme fatale: Życie i tragiczna śmierć Assii Wevill, rywalki Sylvii Plath",Yehuda Koren,2008-01-01,352,polski,Videograf II,"biografia, autobiografia, pamiętnik",papier,43,6,"Historia życia i samobójczej śmierci Assi Wevill, kobiety, dla której Ted Hughes zostawił Sylwię Plath. To barwna opowieść o wielkiej miłości i o demonicznym mężczyźnie, który ma na sumieniu życie dwóch swoich partnerek i własnego dziecka. Autorzy książki przez 15 lat gromadzili materiały na temat tajemniczej kobiety, która podobnie jak jej poprzedniczka popełniła samobójstwo, dowiadując się o kolejnym romansie Hughesa. Poddając szczegółowej analizie osobiste zapiski, pamiętniki, listy, artykuły prasowe i wiersze, opisali nie tylko sześcioletni burzliwy związek kochanków, lecz także stworzyli ważny przyczynek do biografii Sylwii Plath.","7,2",9788371835858,https://lubimyczytac.pl/ksiazka/56568/femme-fatale-zycie-i-tragiczna-smierc-assii-wevill-rywalki-sylvii-plath
The Snowball: Warren Buffett and the Business of Life,Alice Schroeder,2008-01-01,960,angielski,Bantam Books,"biografia, autobiografia, pamiętnik",papier,20,4,"In this startlingly frank account of Buffett's life, Schroeder, a former managing director at Morgan Stanley—and hand picked by Buffett to be his biographer—strips away the mystery that has long cloaked the word's richest man to reveal a life and fortune erected around lucid and inspired business vision and unimaginable personal complexity. In a book that is dominated by unstinting descriptions of Buffett's appetites—for profit, women (particularly nurturing maternal types),food (Buffett maintained his and his family's weight by ""dangling money"")—it is refreshing that Schroeder keeps her tone free of judgment or awe; Buffett's plain-speaking suffuses the book and renders his public and private successes and failures wonderfully human and universal. Schroeder's sections detailing the genesis of Buffett's investment strategy, his early mentoring by Benjamin Graham (who imparted the memorable ""cigar butt"" scheme: purchasing discarded stocks and taking a final puff). Inspiring managerial advice abounds and competes with gossipy tidbits (the married Buffett's very public relationship with Washington Post editor Katherine Graham) in this rich, surprisingly affecting biography.","8,3",0553805096,https://lubimyczytac.pl/ksiazka/96122/the-snowball-warren-buffett-and-the-business-of-life
Rowerem do Indii,Adam Chałupski,2008-01-01,311,polski,Libra,"biografia, autobiografia, pamiętnik",papier,61,7,"Spontaniczny wypad rowerem do Indii przez Ukrainę, Turcję, Iran, Pakistan ? bez drobiazgowych planów, przygotowań, wiedzy i środków finansowych ? stał się podstawą do odmalowania krajów Bliskiego (i dalszego) Wschodu z perspektywy przemierzającego je samotnie rowerzysty. Relacja ? poprzez spojrzenie na życie napotykanych po drodze zwykłych ludzi ? rewiduje utarte przez media poglądy na temat krajów muzułmańskich i otwiera oczy na współczesne Indie. Trudne do uchwycenia skądinąd niż z roweru obrazy przedstawiają życie codzienne mało uczęszczanych, nieznanych miejsc, a także przeraźliwie ogromnych i ruchliwych metropolii. Książka jest jednocześnie zapisem osobistych przeżyć i codziennych zmagań z rzeczywistością, pokazuje, czym jest ambicja w obliczu potęgi natury i ludzkich słabości. Ze wstępu Dzięki poznawaniu przyjaznej różnorodności świata człowiek może pozbyć się niepokoju, jaki budzi zamknięcie w kreowanej przez media quasi-rzeczywistości fobii i przesądów, podsycanych dla uzasadnienia brudnych interesów agresywnych mocarstw, dążących przemocą do zmonopolizowania władzy na światem. Podróż wszak daje możliwość poznawania świata osobiście, bez pośrednictwa skorumpowanych tłumaczy i twórców iluzji, oraz stwarza okazję nauki o jego prawdziwej naturze. Współcześni nomadzi wyrażają czynną chęć kontemplacji wszystkiego, co ich otacza. W rytmie przemierzanych dystansów, w harmonii z przyrodą, oglądany świat napełnia energią i inspiruje. Wędrówka pomaga zrozumieć inność, której nieskończone spektrum wypełnia wnętrza bliskich i odległych kontynentów. Kiedyś ludzie zwykle wędrowali, by szukać lepszych warunków życia, dziś często wyruszają w podróż, by odnaleźć zagubioną pośród małych spraw codzienności duchowość, zrewitalizować skarłowaciałą od kolekcjonowania materialnych dóbr duszę. Książka napisana jest w formie dziennika, na podstawie listów do przyjaciół i bliskich oraz notatek, jakie sporządzałem w czasie wyprawy. Dzień po dniu starałem się utrwalić to, co zobaczyłem i doznałem w odwiedzanych miejscach. Notowałem dane na temat bezpieczeństwa i utrudnień, jakich można się spodziewać w poszczególnych krajach. Starałem się też opisywać niepowtarzalny charakter mijanych miejsc ? przyrodę, architekturę i ludzi, z jakimi miałem do czynienia. Uważam, że wyprawa jest tym ciekawsza, im więcej jest do odkrywania. Oczywiście wiedza na temat miejsc, jakie zamierza się odwiedzić, bardzo pomaga, niemniej własne, niezmącone cudzymi interpretacjami spojrzenie na odkrywane miejsca jest równie cenne, a może cenniejsze. Zwiedzanie legendarnych zabytków może być fascynujące. Są jednak ogromne przestrzenie, które kryją nieskończoność zapomnianych bądź nieznanych miejsc. Nabierają one nowej niezwykłej jakości, gdy obserwuje się je w czasie jazdy rowerem. Takiej percepcji, otwartej na inność, czystej i niezakłócającej obserwowanej rzeczywistości, życzę każdemu w podróży ? dziękując za nią spotkanym ludziom, zwierzętom, roślinom i wszystkiemu pod słońcem.","6,5",9788389183316,https://lubimyczytac.pl/ksiazka/62845/rowerem-do-indii
Maria Antonina. Niebezpieczne związki królowej,Michel de Decker,2008-01-01,256,polski,Bellona,"biografia, autobiografia, pamiętnik",papier,44,3,"Autor nakreślił wzruszający i barwny portret wyjątkowej postaci będącej w centrum życia politycznego osiemnastowiecznej Francji. Przedstawił historię zdesperowanej kobiety, która została poświęconaw imię rewolucji. W książce znajdziemy wiele postaci i anegdot ujawniających nieznane i często zaskakujące oblicze Marii Antoniny. Michel de Decker zabiera nas w podróż po świecie królowej, której zarzucano zbytnią rozrzutność i przywiązanie do pięknych sukien i klejnotów.","6,4",9788311111561,https://lubimyczytac.pl/ksiazka/59519/maria-antonina-niebezpieczne-zwiazki-krolowej
Ryszard Kapuściński. Biografia pisarza,Beata Nowacka,2008-01-01,400,polski,Znak,"biografia, autobiografia, pamiętnik",papier,57,2,"Książka Beaty Nowackiej i Zygmunta Ziątka - literaturoznawców od lat zajmujących się twórczością Ryszarda Kapuścińskiego - to pierwsza próba pokazania całości dzieła autora Podróży z Herodotem.Biografia twórcza jednego z najwybitniejszych reportażystów XX wieku jest próbą opisania rozwoju i przemian jego pisarstwa. Opisowi działalności literackiej towarzyszy próba naszkicowania losów pisarza, który sam często stawał się bohaterem swoich tekstów. Autorzy nie tylko analizują reportaże Kapuścińskiego, ale wyjaśniają też kulisy ich powstania oraz ich odbiór w Polsce i na świecie.Ryszard Kapuściński Beaty Nowackiej i Zygmunta Ziątka to niezbędny przewodnik dla wszystkich, których interesuje życie i twórczość cesarza reportażu.","6,4",978-83-240-1069-1,https://lubimyczytac.pl/ksiazka/59357/ryszard-kapuscinski-biografia-pisarza
Halina Poświatowska w zwierciadle swej kobiecości,Katarzyna Karaskiewicz,2008-01-01,168,polski,Oficyna Wydawnicza RYTM,"biografia, autobiografia, pamiętnik",papier,63,8,"Szkic o Halinie Poświatowskiej nie jest ani psychologicznym studium biograficznym, ani kolejną analizą jej wciąż budzącej emocje poetyckiej i prozatorskiej twórczości. To opowieść o młodej kobiecie, która mimo trapiącej ją ciężkiej choroby chciała żyć pełnią życia: studiować, pisać, modnie się ubierać, malować, buszować po księgarniach i sklepach z damskimi łaszkami... Autorka podąża tropem jej codziennych dni, ulubionych lektur, przyjaźni, miłosnych fascynacji, rozterek, egzystencjalnych przemyśleń utrwalonych w pamięci przyjaciół i rodziny wydobytych z pozostawionych listów...","5,9",9788373992634,https://lubimyczytac.pl/ksiazka/48044/halina-poswiatowska-w-zwierciadle-swej-kobiecosci
Od złudzenia do prawdy,Gloria Polo,2008-01-01,112,polski,Vox Domini,"biografia, autobiografia, pamiętnik",papier,84,14,"""Trafiona przez piorun stałam u bram Nieba i piekła..."" Osobiste świadectwo pani dr Glorii Polo","7,4",83-86092-02-5,https://lubimyczytac.pl/ksiazka/155156/od-zludzenia-do-prawdy
Capa. Szampan i krew,Alex Kershaw,2008-01-01,357,polski,Fontanna,"biografia, autobiografia, pamiętnik",papier,59,10,"Bogata i romantyczna biografia wielkiego fotoreportera wojennego Roberta Capy, którego życie było równie dramatyczne, jak robione przez niego zdjęcia.Capa musiał opuścić ojczyste Węgry z powodu prześladowań. Dzięki zdjęciom wykonanym podczas hiszpańskiej wojny domowej stał się największym fotoreporterem wojennym swojego pokolenia. Jego zdjęcia z drugiej wojny światowej uczyniły z niego legendę. Relacjonował wiele decydujących momentów wojny- w 1942 roku przepłynął Atlantyk w konwoju okrętów, aby następnie ruszyć z wojskami sprzymierzonych przez Północną Afrykę, Włochy, aż do Francji. Założyciel agencji fotograficznej Magnum, zginął w Indochinach w 1954 roku, stając się jedną z pierwszych ofiar wojny w Wietnamie. Przyjaciel Ernesta Hemingwaya, Gary Coopera, Gene’a Kelly, Johna Hustona, Irwina Showa, Johna Steinbecka, kochanek Ingrid Bergman. Jest jedną z wielkich legend XX wieku.","7,1",9788361159049,https://lubimyczytac.pl/ksiazka/69386/capa-szampan-i-krew
Gandhi. Jestem żołnierzem pokoju,José Frèches,2008-01-01,320,polski,Sonia Draga,"biografia, autobiografia, pamiętnik",papier,48,7,"Prawnik, pisarz, filozof, polityk - bez dwóch zdań jedna z najwybitniejszych postaci XX wieku. Pierwszy tom fascynującej biografii indyjskiego przywódcy wydanej w sześćdziesiątą rocznicę jego śmierci. Barwna opowieść o życiu indyjskiego bohatera, któremu udało się bez użycia przemocy, na drodze obywatelskiego nieposłuszeństwa, pokonać brytyjskie imperium. ""Gandhi. Jestem żołnierzem pokoju"" to niezwykle wciągająca historia życia jednego z największych twórców współczesnej państwowości indyjskiej. Szczegółowo i niezwykle plastycznie przedstawiono tu dzieciństwo Gandhiego, okres dorastania, wczesne lata studenckie oraz pierwsze kroki, jakie postawił na politycznej scenie.","6,4",978-83-7508-110-7,https://lubimyczytac.pl/ksiazka/62590/gandhi-jestem-zolnierzem-pokoju
Bunkier,Chaim Icel Goldstein,2008-01-01,220,polski,Ośrodek KARTA,"biografia, autobiografia, pamiętnik",papier,48,5,"Zmęczeni, ociekający potem, kończyliśmy kopać dół w piwnicy częściowo zburzonego domu przy Franciszkańskiej 8, by przygotować sobie kryjówkę, która miała łączyć się z kanałem. Była całą naszą nadzieją. [...] Dzikie wrzaski: Alle raus! wstrząsnęły nagle wszystkimi, którzy stali na podwórzu. To Niemcy. Przerażone dzieci zaczęły płakać i tulić się do swoich matek.","7,7",9788388288135,https://lubimyczytac.pl/ksiazka/31801/bunkier
